"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:12:59.3045454 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\DisplayString","SUCCESS","Type: REG_SZ, Length: 86, Data: @%SystemRoot%\system32\wshtcpip.dll,-60103"
"12:12:59.3045511 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\ProviderId","SUCCESS","Type: REG_BINARY, Length: 16, Data: 40 9D 05 22 9E 7E CF 11 AE 5A 00 AA 00 A7 11 2B"
"12:12:59.3045568 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\AddressFamily","NAME NOT FOUND","Length: 16"
"12:12:59.3045627 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\SupportedNameSpace","SUCCESS","Type: REG_DWORD, Length: 4, Data: 12"
"12:12:59.3045687 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:12:59.3045745 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\Version","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:12:59.3045801 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\StoresServiceClassInfo","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:12:59.3045862 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"12:12:59.3045919 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006\ProviderInfo","SUCCESS","Type: REG_BINARY, Length: 0"
"12:12:59.3045984 PM","loader2.exe","572","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000006","SUCCESS",""
"12:12:59.3046128 PM","loader2.exe","572","RegQueryKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"12:12:59.3046193 PM","loader2.exe","572","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007","SUCCESS","Desired Access: Read"
"12:12:59.3046300 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\LibraryPath","SUCCESS","Type: REG_SZ, Length: 66, Data: %SystemRoot%\System32\winrnr.dll"
"12:12:59.3046368 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\LibraryPath","SUCCESS","Type: REG_SZ, Length: 66, Data: %SystemRoot%\System32\winrnr.dll"
"12:12:59.3046434 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\DisplayString","BUFFER OVERFLOW","Length: 12"
"12:12:59.3046511 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\DisplayString","SUCCESS","Type: REG_SZ, Length: 80, Data: @%SystemRoot%\System32\winrnr.dll,-1000"
"12:12:59.3046575 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\DisplayString","SUCCESS","Type: REG_SZ, Length: 80, Data: @%SystemRoot%\System32\winrnr.dll,-1000"
"12:12:59.3046633 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\DisplayString","SUCCESS","Type: REG_SZ, Length: 80, Data: @%SystemRoot%\System32\winrnr.dll,-1000"
"12:12:59.3046691 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\ProviderId","SUCCESS","Type: REG_BINARY, Length: 16, Data: EE 37 26 3B 80 E5 CF 11 A5 55 00 C0 4F D8 D4 AC"
"12:12:59.3046756 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\AddressFamily","NAME NOT FOUND","Length: 16"
"12:12:59.3046825 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\SupportedNameSpace","SUCCESS","Type: REG_DWORD, Length: 4, Data: 32"
"12:12:59.3046887 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:12:59.3046945 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\Version","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:12:59.3047002 PM","loader2.exe","572","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Catalog5\Catalog_Entries64\000000000007\StoresServiceClassInfo","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
